,City Name,Lat,Lon,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,66.99,73,45,3.0,AU,1614298115
1,Bubaque,11.2833,-15.8333,76.62,69,0,14.88,GW,1614298148
2,Jamestown,42.097,-79.2353,26.6,63,1,4.61,US,1614298127
3,Atuona,-9.8,-139.0333,80.33,79,3,12.24,PF,1614298151
4,Hobart,-42.8794,147.3294,63.0,82,75,14.97,AU,1614298092
5,Nantucket,41.2835,-70.0995,37.4,60,1,6.91,US,1614298153
6,Namatanai,-3.6667,152.4333,83.48,74,91,4.38,PG,1614298037
7,Son La,21.3167,103.9,60.78,69,16,1.19,VN,1614297868
8,Dunedin,-45.8742,170.5036,59.0,84,74,21.99,NZ,1614297903
9,Kuna,43.4918,-116.4201,41.0,45,1,17.27,US,1614297886
10,Havelock,34.8791,-76.9013,51.01,57,40,10.36,US,1614298160
11,Bluff,-46.6,168.3333,64.0,69,96,4.0,NZ,1614298161
12,Punta Arenas,-53.15,-70.9167,53.01,76,90,13.8,CL,1614298037
13,Yellowknife,62.456,-114.3525,-23.01,51,20,10.36,CA,1614297879
14,Rikitea,-23.1203,-134.9692,76.8,88,100,23.82,PF,1614298164
15,Hermanus,-34.4187,19.2345,63.0,85,40,12.64,ZA,1614297899
16,Shenjiamen,29.9576,122.298,51.55,94,100,20.65,CN,1614298167
17,La Ronge,55.1001,-105.2842,23.0,68,100,3.44,CA,1614298042
18,Dikson,73.5069,80.5464,-20.22,97,61,9.48,RU,1614298170
19,Port Elizabeth,-33.918,25.5701,64.4,94,75,6.91,ZA,1614298117
20,Bredasdorp,-34.5322,20.0403,62.6,88,26,3.44,ZA,1614298172
21,Nsunga,-1.1439,31.3947,65.07,74,17,1.92,TZ,1614298174
22,Kisesa,-3.0833,34.15,63.01,77,50,4.92,TZ,1614298175
23,Ushuaia,-54.8,-68.3,44.6,65,75,25.32,AR,1614298142
24,Waingapu,-9.6567,120.2641,80.2,79,54,3.6,ID,1614298177
25,Lesosibirsk,58.2358,92.4828,-8.0,88,100,7.02,RU,1614298179
26,Milledgeville,33.0801,-83.2321,66.0,52,6,3.2,US,1614298094
27,Uray,60.1247,64.7758,-20.79,99,54,1.9,RU,1614298181
28,Puerto Ayora,-0.7393,-90.3518,80.01,90,79,5.01,EC,1614298182
29,Mataura,-46.1927,168.8643,64.0,69,96,4.0,NZ,1614297813
30,New Norfolk,-42.7826,147.0587,63.0,59,65,3.0,AU,1614298102
31,Kyabé,9.4515,18.9449,77.63,19,8,5.73,TD,1614298186
32,Sompeta,18.9333,84.6,73.53,48,0,7.4,IN,1614298187
33,Barrow,71.2906,-156.7887,-23.8,76,1,8.05,US,1614298188
34,Norman Wells,65.282,-126.8329,-16.6,63,20,3.44,CA,1614298190
35,Katsuura,35.1333,140.3,51.01,35,100,3.0,JP,1614298191
36,Vila Velha,-20.3297,-40.2925,78.01,88,20,4.61,BR,1614297957
37,Aberdeen,57.1437,-2.0981,39.2,75,17,4.61,GB,1614298124
38,Khatanga,71.9667,102.5,-34.71,78,0,6.71,RU,1614298195
39,Tiksi,71.6872,128.8694,-19.16,86,100,4.32,RU,1614298196
40,Upernavik,72.7868,-56.1549,6.15,76,2,7.0,GL,1614298198
41,Nadym,65.5333,72.5167,-10.53,98,90,5.26,RU,1614298199
42,Port Hardy,50.6996,-127.4199,44.6,76,75,12.66,CA,1614298201
43,Torbay,47.6666,-52.7314,39.2,93,90,20.71,CA,1614298202
44,Vaini,-21.2,-175.2,82.4,69,20,9.22,TO,1614298203
45,Hilo,19.7297,-155.09,77.0,65,20,10.36,US,1614298030
46,Lebu,-37.6167,-73.65,57.9,91,57,17.0,CL,1614298206
47,Kolondiéba,11.0882,-6.8926,75.31,17,0,7.0,ML,1614298207
48,Maraã,-1.8333,-65.3667,77.31,88,100,1.7,BR,1614298209
49,San Jose de Guanipa,8.8872,-64.1651,77.74,67,80,17.2,VE,1614298210
50,Haimen,23.1935,116.6142,64.4,88,75,6.71,CN,1614298211
51,Cidreira,-30.1811,-50.2056,73.99,74,5,11.83,BR,1614298213
52,Port Alfred,-33.5906,26.891,66.99,95,39,5.99,ZA,1614298214
53,Srednekolymsk,67.45,153.6833,-20.54,86,97,3.94,RU,1614298215
54,Khovd,48.0056,91.6419,17.46,62,64,13.27,MN,1614297920
55,George Town,5.4112,100.3354,75.2,88,20,2.3,MY,1614298219
56,Saint-Philippe,-21.3585,55.7679,78.8,61,90,5.75,RE,1614298220
57,Portel,-1.9356,-50.8211,75.43,94,93,4.34,BR,1614298222
58,Port Augusta,-32.5,137.7667,72.0,64,0,11.5,AU,1614298224
